locus_tag	ftype	length_bp	gene	EC_number	COG	product
AIILHNKI_00131	CDS	2265	kefB_1			Glutathione-regulated potassium-efflux system protein KefB
AIILHNKI_00132	CDS	1266	pepT	3.4.11.4	COG2195	Peptidase T
AIILHNKI_00133	CDS	381	ziaA	7.2.2.12		Zinc-transporting ATPase
AIILHNKI_00134	CDS	1305	cadA_1	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
AIILHNKI_00135	CDS	294	cadA_2	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
AIILHNKI_00136	CDS	471				hypothetical protein
AIILHNKI_00137	CDS	972	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
AIILHNKI_00138	CDS	951	zupT_1			Zinc transporter ZupT
AIILHNKI_00139	CDS	840	pheC			Cyclohexadienyl dehydratase
AIILHNKI_00140	CDS	123				hypothetical protein
AIILHNKI_00141	CDS	1287	apeB	3.4.11.-	COG1362	putative M18 family aminopeptidase 2
AIILHNKI_00142	CDS	1047				hypothetical protein
AIILHNKI_00143	tRNA	73				tRNA-Arg(ccg)
AIILHNKI_00144	CDS	564				hypothetical protein
AIILHNKI_00145	CDS	2046	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
AIILHNKI_00146	tRNA	86				tRNA-Ser(tga)
AIILHNKI_00147	CDS	2079	mutS2_1	3.1.-.-		Endonuclease MutS2
AIILHNKI_00148	CDS	570	mutS2_2	3.1.-.-		Endonuclease MutS2
AIILHNKI_00149	CDS	447				hypothetical protein
AIILHNKI_00150	tRNA	74				tRNA-Met(cat)
AIILHNKI_00151	CDS	594				hypothetical protein
AIILHNKI_00152	CDS	738	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
AIILHNKI_00153	CDS	672		5.4.99.-	COG0564	putative RNA pseudouridine synthase
AIILHNKI_00154	CDS	4719				hypothetical protein
AIILHNKI_00155	CDS	2337	bamA_1			Outer membrane protein assembly factor BamA
AIILHNKI_00156	CDS	942				hypothetical protein
AIILHNKI_00157	CDS	1032	nrnA	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
AIILHNKI_00158	CDS	648				hypothetical protein
AIILHNKI_00159	CDS	1374	algC_1	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
AIILHNKI_00160	CDS	279				hypothetical protein
AIILHNKI_00161	CDS	504				hypothetical protein
AIILHNKI_00162	CDS	273	groS		COG0234	10 kDa chaperonin
AIILHNKI_00163	CDS	1632	groL		COG0459	60 kDa chaperonin
AIILHNKI_00164	CDS	1797	sppA	3.4.21.-	COG0616	Protease 4
AIILHNKI_00165	CDS	1185	lpxK	2.7.1.130		Tetraacyldisaccharide 4'-kinase
AIILHNKI_00166	CDS	717	punA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 1
AIILHNKI_00167	CDS	1107	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
AIILHNKI_00168	tRNA	74				tRNA-Phe(gaa)
AIILHNKI_00169	CDS	828	coaW	2.7.1.33		Type II pantothenate kinase
AIILHNKI_00170	CDS	588				hypothetical protein
AIILHNKI_00171	CDS	1110				hypothetical protein
AIILHNKI_00172	CDS	1101				hypothetical protein
AIILHNKI_00173	CDS	1248	tycB			Tyrocidine synthase 2
AIILHNKI_00174	CDS	2733	mdtB			Multidrug resistance protein MdtB
AIILHNKI_00175	CDS	630	ttgB		COG0841	putative efflux pump membrane transporter TtgB
AIILHNKI_00176	CDS	120				hypothetical protein
AIILHNKI_00177	CDS	348				hypothetical protein
AIILHNKI_00178	CDS	126				hypothetical protein
AIILHNKI_00179	CDS	315				hypothetical protein
AIILHNKI_00180	CDS	480				hypothetical protein
AIILHNKI_00181	CDS	309				hypothetical protein
AIILHNKI_00182	CDS	294				hypothetical protein
AIILHNKI_00183	CDS	609	yveL	2.7.10.2	COG0489	Putative tyrosine-protein kinase YveL
AIILHNKI_00184	CDS	681				hypothetical protein
AIILHNKI_00185	CDS	312				hypothetical protein
AIILHNKI_00186	CDS	540				hypothetical protein
AIILHNKI_00187	CDS	213				hypothetical protein
AIILHNKI_00188	CDS	903				hypothetical protein
AIILHNKI_00189	CDS	876				hypothetical protein
AIILHNKI_00190	CDS	999	rfaH			Transcription antitermination protein RfaH
AIILHNKI_00191	CDS	1359	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
AIILHNKI_00192	CDS	648	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
AIILHNKI_00193	CDS	633				hypothetical protein
AIILHNKI_00194	CDS	558				hypothetical protein
AIILHNKI_00195	CDS	576				hypothetical protein
AIILHNKI_00196	CDS	1356				hypothetical protein
AIILHNKI_00197	CDS	456	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
AIILHNKI_00198	CDS	939	sigA_1		COG0568	RNA polymerase sigma factor SigA
AIILHNKI_00199	CDS	1272		3.2.1.177	COG1501	Alpha-xylosidase BoGH31A
AIILHNKI_00200	CDS	912		3.2.1.177	COG1501	Alpha-xylosidase BoGH31A
AIILHNKI_00201	CDS	1020		3.2.1.177	COG1501	Alpha-xylosidase BoGH31A
AIILHNKI_00202	CDS	585	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
AIILHNKI_00203	CDS	1599				hypothetical protein
AIILHNKI_00204	CDS	258				hypothetical protein
AIILHNKI_00205	CDS	549				hypothetical protein
AIILHNKI_00206	CDS	1059	ccpA		COG1609	Catabolite control protein A
AIILHNKI_00207	CDS	2661				hypothetical protein
AIILHNKI_00208	CDS	192				hypothetical protein
AIILHNKI_00209	CDS	462				hypothetical protein
AIILHNKI_00210	CDS	726				hypothetical protein
AIILHNKI_00211	CDS	450				hypothetical protein
AIILHNKI_00212	CDS	273				hypothetical protein
AIILHNKI_00213	CDS	312	gph_1	3.1.3.18		Phosphoglycolate phosphatase
AIILHNKI_00214	CDS	285				hypothetical protein
AIILHNKI_00215	CDS	252				hypothetical protein
AIILHNKI_00216	CDS	732				hypothetical protein
AIILHNKI_00217	CDS	222				hypothetical protein
AIILHNKI_00218	CDS	423	emrA_1			Colistin resistance protein EmrA
AIILHNKI_00219	CDS	615	emrA_2			Colistin resistance protein EmrA
AIILHNKI_00220	CDS	1383	tolC			Outer membrane protein TolC
AIILHNKI_00221	CDS	861	dinB	2.7.7.7	COG0389	DNA polymerase IV
AIILHNKI_00222	CDS	102				hypothetical protein
AIILHNKI_00223	CDS	927				hypothetical protein
AIILHNKI_00224	CDS	354				hypothetical protein
AIILHNKI_00225	CDS	1185				hypothetical protein
AIILHNKI_00226	CDS	1215				hypothetical protein
AIILHNKI_00227	CDS	372				hypothetical protein
AIILHNKI_00228	CDS	558				hypothetical protein
AIILHNKI_00229	CDS	282				hypothetical protein
AIILHNKI_00230	CDS	192				hypothetical protein
AIILHNKI_00231	CDS	342				hypothetical protein
AIILHNKI_00232	CDS	522				hypothetical protein
AIILHNKI_00233	CDS	870				hypothetical protein
AIILHNKI_00234	CDS	294				hypothetical protein
AIILHNKI_00235	CDS	1986				hypothetical protein
AIILHNKI_00236	CDS	132				hypothetical protein
AIILHNKI_00237	CDS	495				hypothetical protein
AIILHNKI_00238	CDS	162				hypothetical protein
AIILHNKI_00239	CDS	552				hypothetical protein
AIILHNKI_00240	CDS	735				hypothetical protein
AIILHNKI_00241	CDS	1299		6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
AIILHNKI_00242	CDS	426				hypothetical protein
AIILHNKI_00243	tRNA	76				tRNA-Val(tac)
AIILHNKI_00244	CDS	1347	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
AIILHNKI_00245	CDS	1350				hypothetical protein
AIILHNKI_00246	CDS	1440	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
AIILHNKI_00247	CDS	846	cvfB			Conserved virulence factor B
AIILHNKI_00248	CDS	684	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
AIILHNKI_00249	CDS	2142	kefB_2			Glutathione-regulated potassium-efflux system protein KefB
AIILHNKI_00250	CDS	1014	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
AIILHNKI_00251	CDS	471				hypothetical protein
AIILHNKI_00252	CDS	756				hypothetical protein
AIILHNKI_00253	CDS	2016				hypothetical protein
AIILHNKI_00254	CDS	471				hypothetical protein
AIILHNKI_00255	CDS	852				hypothetical protein
AIILHNKI_00256	CDS	1800	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
AIILHNKI_00257	CDS	312				hypothetical protein
AIILHNKI_00258	CDS	351	rsfS			Ribosomal silencing factor RsfS
AIILHNKI_00259	tRNA	72				tRNA-Gln(ctg)
AIILHNKI_00260	CDS	258				hypothetical protein
AIILHNKI_00261	CDS	579				hypothetical protein
AIILHNKI_00262	CDS	90				hypothetical protein
AIILHNKI_00263	CDS	114				hypothetical protein
AIILHNKI_00264	CDS	162				hypothetical protein
AIILHNKI_00265	CDS	93				hypothetical protein
AIILHNKI_00266	CDS	288				hypothetical protein
AIILHNKI_00267	CDS	258				hypothetical protein
AIILHNKI_00268	CDS	264				hypothetical protein
AIILHNKI_00269	CDS	507				hypothetical protein
AIILHNKI_00270	CDS	1548				hypothetical protein
AIILHNKI_00271	CDS	393				hypothetical protein
AIILHNKI_00272	CDS	807	rbn	3.1.26.11		Ribonuclease BN
AIILHNKI_00273	CDS	873	pip	3.4.11.5		Proline iminopeptidase
AIILHNKI_00274	CDS	531				hypothetical protein
AIILHNKI_00275	CDS	1134				hypothetical protein
AIILHNKI_00276	CDS	1320	tuaD	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase TuaD
AIILHNKI_00277	CDS	780				hypothetical protein
AIILHNKI_00278	CDS	774	nudC_1	3.6.1.22		NADH pyrophosphatase
AIILHNKI_00279	CDS	1767	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
AIILHNKI_00280	CDS	684	dnaJ_1		COG0484	Chaperone protein DnaJ
AIILHNKI_00281	CDS	747	kpsU	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
AIILHNKI_00282	CDS	1119				hypothetical protein
AIILHNKI_00283	CDS	414				hypothetical protein
AIILHNKI_00284	CDS	2085	glgB_1	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
AIILHNKI_00285	CDS	864				hypothetical protein
AIILHNKI_00286	CDS	333				hypothetical protein
AIILHNKI_00287	CDS	762	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
AIILHNKI_00288	CDS	939	lcfB	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
AIILHNKI_00289	CDS	1659	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
AIILHNKI_00290	CDS	1188	lolE_1		COG4591	Lipoprotein-releasing system transmembrane protein LolE
AIILHNKI_00291	CDS	1206	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
AIILHNKI_00292	CDS	1290				hypothetical protein
AIILHNKI_00293	CDS	477				hypothetical protein
AIILHNKI_00294	CDS	678			COG0325	Pyridoxal phosphate homeostasis protein
AIILHNKI_00295	CDS	825	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
AIILHNKI_00296	CDS	612				hypothetical protein
AIILHNKI_00297	CDS	507	idi	5.3.3.2		Isopentenyl-diphosphate Delta-isomerase
AIILHNKI_00298	CDS	429				hypothetical protein
AIILHNKI_00299	CDS	996	pctA		COG0840	Methyl-accepting chemotaxis protein PctA
AIILHNKI_00300	CDS	1953	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
AIILHNKI_00301	CDS	1281	gatC		COG3775	PTS system galactitol-specific EIIC component
AIILHNKI_00302	CDS	987	kduI	5.3.1.17		4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
AIILHNKI_00303	CDS	1455	exuT			Hexuronate transporter
AIILHNKI_00304	CDS	765	nfrA2	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
AIILHNKI_00305	CDS	687				hypothetical protein
AIILHNKI_00306	CDS	366	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
AIILHNKI_00307	CDS	1227				hypothetical protein
AIILHNKI_00308	CDS	903				hypothetical protein
AIILHNKI_00309	CDS	1422	dnaA		COG0593	Chromosomal replication initiator protein DnaA
AIILHNKI_00310	CDS	2046	cirA_1		COG4771	Colicin I receptor
AIILHNKI_00311	CDS	834				hypothetical protein
AIILHNKI_00312	CDS	501				hypothetical protein
AIILHNKI_00313	CDS	153				hypothetical protein
AIILHNKI_00314	CDS	540				hypothetical protein
AIILHNKI_00315	CDS	393				hypothetical protein
AIILHNKI_00316	CDS	423				hypothetical protein
AIILHNKI_00317	CDS	300				hypothetical protein
AIILHNKI_00318	CDS	285				hypothetical protein
AIILHNKI_00319	CDS	1863	icmF	5.4.99.13		Fused isobutyryl-CoA mutase
AIILHNKI_00320	CDS	2166	mutB	5.4.99.2	COG1884	Methylmalonyl-CoA mutase large subunit
AIILHNKI_00321	CDS	876				hypothetical protein
AIILHNKI_00322	CDS	234				hypothetical protein
AIILHNKI_00323	CDS	1662				hypothetical protein
AIILHNKI_00324	CDS	219				hypothetical protein
AIILHNKI_00325	CDS	459				hypothetical protein
AIILHNKI_00326	CDS	159				hypothetical protein
AIILHNKI_00327	CDS	690				hypothetical protein
AIILHNKI_00328	CDS	657				hypothetical protein
AIILHNKI_00329	CDS	222				hypothetical protein
AIILHNKI_00330	CDS	459				hypothetical protein
AIILHNKI_00331	CDS	756		3.2.1.22		Retaining alpha-galactosidase
AIILHNKI_00332	CDS	1041		3.2.1.22		Retaining alpha-galactosidase
AIILHNKI_00333	CDS	1272	pgk_1	2.7.2.3	COG0126	Phosphoglycerate kinase
AIILHNKI_00334	CDS	864	radA_1	3.6.4.-	COG1066	DNA repair protein RadA
AIILHNKI_00335	CDS	510	radA_2	3.6.4.-	COG1066	DNA repair protein RadA
AIILHNKI_00336	CDS	387				hypothetical protein
AIILHNKI_00337	CDS	429	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
AIILHNKI_00338	CDS	1164				hypothetical protein
AIILHNKI_00339	CDS	246				hypothetical protein
AIILHNKI_00340	CDS	456				hypothetical protein
AIILHNKI_00341	CDS	213				hypothetical protein
AIILHNKI_00342	CDS	1104				hypothetical protein
AIILHNKI_00343	CDS	792				hypothetical protein
AIILHNKI_00344	CDS	585	sodB	1.15.1.1	COG0605	Superoxide dismutase [Mn/Fe]
AIILHNKI_00345	CDS	1029	axe7A_1	3.1.1.-	COG3458	Acetyl esterase Axe7A
AIILHNKI_00346	CDS	1260				hypothetical protein
AIILHNKI_00347	CDS	1095		2.4.1.281	COG2152	4-O-beta-D-mannosyl-D-glucose phosphorylase
AIILHNKI_00348	CDS	978	yagG_1		COG2211	Putative glycoside/cation symporter YagG
AIILHNKI_00349	CDS	366	uidB		COG2211	Glucuronide carrier protein
AIILHNKI_00350	CDS	978	bfce_1	5.1.3.11	COG2942	Cellobiose 2-epimerase
AIILHNKI_00351	CDS	321	bfce_2	5.1.3.11	COG2942	Cellobiose 2-epimerase
AIILHNKI_00352	CDS	600	phoV	3.1.3.1		Alkaline phosphatase PhoV
AIILHNKI_00353	CDS	879	pafA	3.1.3.1		Alkaline phosphatase PafA
AIILHNKI_00354	CDS	351	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
AIILHNKI_00355	CDS	792	ndhK	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit K, chloroplastic
AIILHNKI_00356	CDS	1566	nuoC	7.1.1.-		NADH-quinone oxidoreductase subunit C/D
AIILHNKI_00357	CDS	1089	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
AIILHNKI_00358	CDS	546	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
AIILHNKI_00359	CDS	516	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
AIILHNKI_00360	CDS	309	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
AIILHNKI_00361	CDS	1989	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
AIILHNKI_00362	CDS	1482	ndhD1	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
AIILHNKI_00363	CDS	198				hypothetical protein
AIILHNKI_00364	CDS	1302	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
AIILHNKI_00365	CDS	1014	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
AIILHNKI_00366	CDS	525				hypothetical protein
AIILHNKI_00367	CDS	603	purH		COG0138	Bifunctional purine biosynthesis protein PurH
AIILHNKI_00368	CDS	1023	mbl		COG1077	Cell shape-determining protein Mbl
AIILHNKI_00369	CDS	870	mreC		COG1792	Cell shape-determining protein MreC
AIILHNKI_00370	CDS	501				hypothetical protein
AIILHNKI_00371	CDS	1860	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
AIILHNKI_00372	CDS	1440	mrdB	2.4.1.129		Peptidoglycan glycosyltransferase MrdB
AIILHNKI_00373	CDS	465	gldH			Gliding motility lipoprotein GldH
AIILHNKI_00374	CDS	1152				hypothetical protein
AIILHNKI_00375	CDS	1113				hypothetical protein
AIILHNKI_00376	CDS	966	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
AIILHNKI_00377	CDS	954				hypothetical protein
AIILHNKI_00378	CDS	453				hypothetical protein
AIILHNKI_00379	CDS	1164	norV			Anaerobic nitric oxide reductase flavorubredoxin
AIILHNKI_00380	CDS	1065	garK	2.7.1.165	COG1929	Glycerate 2-kinase
AIILHNKI_00381	CDS	393	atl		COG3695	DNA base-flipping protein
AIILHNKI_00382	CDS	552	azoR_1	1.7.1.17		FMN-dependent NADH-azoreductase
AIILHNKI_00383	CDS	735				hypothetical protein
AIILHNKI_00384	CDS	294				hypothetical protein
AIILHNKI_00385	CDS	726	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
AIILHNKI_00386	CDS	1728	lysS	6.1.1.6		Lysine--tRNA ligase
AIILHNKI_00387	CDS	273				hypothetical protein
AIILHNKI_00388	CDS	738	glkA_2	2.7.1.2		Glucokinase
AIILHNKI_00389	CDS	990	glcK	2.7.1.2	COG1940	Glucokinase
AIILHNKI_00390	CDS	981	glkA_3	2.7.1.2		Glucokinase
