Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
AIILHNKI_01653	-	GH29(57-354)	-	-	Y(1-22)	1
AIILHNKI_01655	-	GH2_17(2-446)	-	-	N	1
AIILHNKI_01657	-	GH78(23-605)	-	-	N	1
AIILHNKI_01659	-	GH18(38-150)	-	-	Y(1-20)	1
AIILHNKI_01669	-	GT2(6-186)	-	-	N	1
AIILHNKI_01676	-	GH2_10(56-631)	-	-	N	1
AIILHNKI_01730	-	GH51_2(202-513)	-	-	Y(1-19)	1
AIILHNKI_01742	-	GT2(8-174)	-	-	N	1
AIILHNKI_01765	-	CE4(2-129)	-	-	N	1
AIILHNKI_01767	-	GT4(204-342)	-	-	N	1
AIILHNKI_01779	-	GH31_4(224-566)	-	-	N	1
AIILHNKI_01831	-	GH115(178-519)	-	-	N	1
AIILHNKI_01875	-	GH10(67-351)	-	-	N	1
AIILHNKI_01964	-	CE1(138-392)	-	-	N	1
AIILHNKI_01998	-	GH43_35(68-296)	-	-	Y(1-27)	1
AIILHNKI_02007	-	GH43_3(57-259)	-	-	N	1
AIILHNKI_02010	-	GH182(343-614)	-	-	Y(1-21)	1
AIILHNKI_02011	-	GH43_31(58-266)	-	-	Y(1-25)	1
AIILHNKI_02058	-	GT28(194-325)	-	-	N	1
AIILHNKI_02059	-	GT119(52-401)	-	-	N	1
AIILHNKI_02076	-	GH97(18-417)	-	-	N	1
AIILHNKI_02077	-	GH97(3-221)	-	-	N	1
AIILHNKI_02079	-	GH2_4(3-417)	-	-	N	1
AIILHNKI_02081	-	GH3(7-147)	-	-	N	1
AIILHNKI_02085	-	GH43_35(43-293)	-	-	Y(1-15)	1
AIILHNKI_02086	-	GH28(161-333)+GH43_10(488-682)+CBM91(767-922)	-	-	Y(1-33)	1
AIILHNKI_02163	-	GH43_17(48-273)	-	-	Y(1-20)	1
AIILHNKI_02178	-	GH20(168-396)	-	-	Y(1-27)	1
AIILHNKI_02179	-	GH20(147-398)	-	-	Y(1-19)	1
AIILHNKI_02180	-	GH125(82-478)	-	-	Y(1-31)	1
AIILHNKI_02181	-	GH92(253-700)	-	-	N	1
AIILHNKI_02201	-	GH8(2-272)	-	-	N	1
AIILHNKI_02239	-	GH23(180-343)	-	-	N	1
AIILHNKI_02243	-	GH2_16(63-560)	-	-	N	1
AIILHNKI_02268	-	GH3(77-321)	-	-	Y(1-28)	1
AIILHNKI_02270	-	CE1(157-400)	-	-	Y(1-16)	1
AIILHNKI_02289	-	GH2_1(1-216)	-	-	N	1
AIILHNKI_02290	-	GH2_1(39-275)	-	-	N	1
AIILHNKI_02300	-	GH2_1(28-501)	-	-	Y(1-20)	1
AIILHNKI_02301	-	GH2_10(48-631)	-	-	N	1
AIILHNKI_02313	-	GT51(92-269)	-	-	N	1
AIILHNKI_02319	-	CE11(5-172)	-	-	N	1
AIILHNKI_02368	-	GH32(2-175)	-	-	N	1
AIILHNKI_02385	-	GH51(434-697)	-	-	Y(1-19)	1
AIILHNKI_02394	-	GH179(23-154)	-	-	N	1
AIILHNKI_02412	-	GH51_1(18-349)	-	-	N	1
AIILHNKI_02413	-	GH3(98-343)	-	-	Y(1-22)	1
AIILHNKI_02438	-	CE1(157-384)	-	-	Y(1-21)	1
AIILHNKI_02443	-	GH95(35-768)	-	-	N	1
AIILHNKI_02453	-	GH9(365-548)	-	-	Y(1-23)	1
AIILHNKI_02470	-	GH9(105-483)	-	-	N	1
AIILHNKI_02512	-	GH31_15(231-523)	-	-	Y(1-20)	1
AIILHNKI_02514	-	GH31_1(194-520)	-	-	Y(1-21)	1
AIILHNKI_02516	-	GH38(31-263)	-	-	Y(1-25)	1
AIILHNKI_02517	-	CBM32(465-585)	-	-	N	1
AIILHNKI_02520	-	GH92(272-735)	-	-	Y(1-23)	1
AIILHNKI_02533	-	GT30(49-204)	-	-	N	1
AIILHNKI_02557	-	GH106(145-566)	-	-	Y(1-23)	1
AIILHNKI_02558	-	GH105(57-382)	-	-	Y(1-21)	1
AIILHNKI_02559	-	GH2_1(32-542)	-	-	Y(1-22)	1
AIILHNKI_02560	-	CE12(141-346)	-	-	Y(1-20)	1
AIILHNKI_02566	-	PL11_1(30-426)	-	-	Y(1-21)	1
AIILHNKI_02572	-	GH2_20(32-497)	-	-	Y(1-25)	1
AIILHNKI_02575	-	GH35(56-477)	-	-	N	1
AIILHNKI_02585	-	CE12(64-279)+CE12(313-529)	-	-	Y(1-24)	1
AIILHNKI_02587	-	GH2_20(21-220)+GH2_20(221-487)	-	-	N	1
AIILHNKI_02588	-	GH28(187-358)	-	-	Y(1-27)	1
AIILHNKI_02594	-	GH78(359-665)	-	-	Y(1-22)	1
AIILHNKI_02599	-	GH28(34-202)+GH105(324-565)	-	-	N	1
AIILHNKI_02622	-	CE1(250-484)	-	-	N	1
AIILHNKI_02630	-	GT4(391-536)	-	-	N	1
AIILHNKI_02631	-	GT4(89-226)	-	-	N	1
AIILHNKI_02651	-	GH43_24(1-114)	-	-	N	1
AIILHNKI_02668	-	GH105(49-365)	-	-	Y(1-19)	1
AIILHNKI_02671	-	GH43_19(129-347)+GH43_24(392-690)	-	-	Y(1-35)	1
AIILHNKI_02692	-	GH97(9-359)	-	-	N	1
